"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2023/01/01 13:00:00","MILLWD","268","18"
"2023/01/01 13:00:00","N.Y.C.","4495","18"
"2023/01/01 13:00:00","NORTH","712","18"
"2023/01/01 13:00:00","WEST","1404","18"
"2023/01/01 14:00:00","CAPITL","1235","19"
"2023/01/01 14:00:00","CENTRL","1568","19"
"2023/01/01 14:00:00","DUNWOD","532","19"
"2023/01/01 14:00:00","GENESE","975","19"
"2023/01/01 14:00:00","HUD VL","845","19"
"2023/01/01 14:00:00","LONGIL","1795","19"
"2023/01/01 14:00:00","MHK VL","680","19"
"2023/01/01 14:00:00","MILLWD","270","19"
"2023/01/01 14:00:00","N.Y.C.","4565","19"
"2023/01/01 14:00:00","NORTH","711","19"
"2023/01/01 14:00:00","WEST","1419","19"
"2023/01/01 15:00:00","CAPITL","1274","20"
"2023/01/01 15:00:00","CENTRL","1616","20"
"2023/01/01 15:00:00","DUNWOD","547","20"
"2023/01/01 15:00:00","GENESE","1002","20"
"2023/01/01 15:00:00","HUD VL","932","20"
"2023/01/01 15:00:00","LONGIL","1927","20"
"2023/01/01 15:00:00","MHK VL","705","20"
"2023/01/01 15:00:00","MILLWD","276","20"
"2023/01/01 15:00:00","N.Y.C.","4641","20"
"2023/01/01 15:00:00","NORTH","713","20"
"2023/01/01 15:00:00","WEST","1447","20"
"2023/01/01 16:00:00","CAPITL","1349","21"
"2023/01/01 16:00:00","CENTRL","1709","21"
"2023/01/01 16:00:00","DUNWOD","580","21"
"2023/01/01 16:00:00","GENESE","1063","21"
"2023/01/01 16:00:00","HUD VL","1024","21"
"2023/01/01 16:00:00","LONGIL","2131","21"
"2023/01/01 16:00:00","MHK VL","758","21"
"2023/01/01 16:00:00","MILLWD","296","21"
"2023/01/01 16:00:00","N.Y.C.","4769","21"
"2023/01/01 16:00:00","NORTH","729","21"
"2023/01/01 16:00:00","WEST","1513","21"
"2023/01/01 17:00:00","CAPITL","1421","22"
"2023/01/01 17:00:00","CENTRL","1805","22"
"2023/01/01 17:00:00","DUNWOD","618","22"
"2023/01/01 17:00:00","GENESE","1135","22"
"2023/01/01 17:00:00","HUD VL","1114","22"
"2023/01/01 17:00:00","LONGIL","2333","22"
"2023/01/01 17:00:00","MHK VL","808","22"
"2023/01/01 17:00:00","MILLWD","325","22"
"2023/01/01 17:00:00","N.Y.C.","4945","22"
"2023/01/01 17:00:00","NORTH","747","22"
"2023/01/01 17:00:00","WEST","1592","22"
"2023/01/01 18:00:00","CAPITL","1402","23"
"2023/01/01 18:00:00","CENTRL","1802","23"
"2023/01/01 18:00:00","DUNWOD","620","23"
"2023/01/01 18:00:00","GENESE","1117","23"
"2023/01/01 18:00:00","HUD VL","1110","23"
"2023/01/01 18:00:00","LONGIL","2326","23"
"2023/01/01 18:00:00","MHK VL","801","23"
"2023/01/01 18:00:00","MILLWD","328","23"
"2023/01/01 18:00:00","N.Y.C.","4992","23"
"2023/01/01 18:00:00","NORTH","746","23"
"2023/01/01 18:00:00","WEST","1576","23"
"2023/01/01 19:00:00","CAPITL","1359","0"
"2023/01/01 19:00:00","CENTRL","1753","0"
"2023/01/01 19:00:00","DUNWOD","611","0"
"2023/01/01 19:00:00","GENESE","1090","0"
"2023/01/01 19:00:00","HUD VL","1080","0"
"2023/01/01 19:00:00","LONGIL","2270","0"
"2023/01/01 19:00:00","MHK VL","778","0"
"2023/01/01 19:00:00","MILLWD","324","0"
"2023/01/01 19:00:00","N.Y.C.","4969","0"
"2023/01/01 19:00:00","NORTH","740","0"
"2023/01/01 19:00:00","WEST","1565","0"
"2023/01/01 20:00:00","CAPITL","1314","1"
"2023/01/01 20:00:00","CENTRL","1709","1"
"2023/01/01 20:00:00","DUNWOD","606","1"
"2023/01/01 20:00:00","GENESE","1056","1"
"2023/01/01 20:00:00","HUD VL","1048","1"
"2023/01/01 20:00:00","LONGIL","2216","1"
"2023/01/01 20:00:00","MHK VL","746","1"
"2023/01/01 20:00:00","MILLWD","316","1"
"2023/01/01 20:00:00","N.Y.C.","4924","1"
"2023/01/01 20:00:00","NORTH","732","1"
"2023/01/01 20:00:00","WEST","1541","1"
"2023/01/01 21:00:00","CAPITL","1241","2"
"2023/01/01 21:00:00","CENTRL","1636","2"
"2023/01/01 21:00:00","DUNWOD","586","2"
"2023/01/01 21:00:00","GENESE","1007","2"
"2023/01/01 21:00:00","HUD VL","991","2"
"2023/01/01 21:00:00","LONGIL","2112","2"
"2023/01/01 21:00:00","MHK VL","704","2"
"2023/01/01 21:00:00","MILLWD","301","2"
"2023/01/01 21:00:00","N.Y.C.","4829","2"
"2023/01/01 21:00:00","NORTH","718","2"
"2023/01/01 21:00:00","WEST","1492","2"
"2023/01/01 22:00:00","CAPITL","1164","3"
"2023/01/01 22:00:00","CENTRL","1562","3"
"2023/01/01 22:00:00","DUNWOD","553","3"
"2023/01/01 22:00:00","GENESE","952","3"
"2023/01/01 22:00:00","HUD VL","927","3"
"2023/01/01 22:00:00","LONGIL","1974","3"
"2023/01/01 22:00:00","MHK VL","660","3"
"2023/01/01 22:00:00","MILLWD","281","3"
"2023/01/01 22:00:00","N.Y.C.","4660","3"
"2023/01/01 22:00:00","NORTH","706","3"
"2023/01/01 22:00:00","WEST","1433","3"
"2023/01/01 23:00:00","CAPITL","1103","4"
"2023/01/01 23:00:00","CENTRL","1508","4"
"2023/01/01 23:00:00","DUNWOD","523","4"
"2023/01/01 23:00:00","GENESE","909","4"
"2023/01/01 23:00:00","HUD VL","870","4"
"2023/01/01 23:00:00","LONGIL","1833","4"
"2023/01/01 23:00:00","MHK VL","626","4"
"2023/01/01 23:00:00","MILLWD","260","4"
"2023/01/01 23:00:00","N.Y.C.","4460","4"
"2023/01/01 23:00:00","NORTH","695","4"
"2023/01/01 23:00:00","WEST","1379","4"
"2023/01/02 00:00:00","CAPITL","1049","5"
"2023/01/02 00:00:00","CENTRL","1413","5"
"2023/01/02 00:00:00","DUNWOD","510","5"
"2023/01/02 00:00:00","GENESE","854","5"
"2023/01/02 00:00:00","HUD VL","840","5"
"2023/01/02 00:00:00","LONGIL","1724","5"
"2023/01/02 00:00:00","MHK VL","583","5"
"2023/01/02 00:00:00","MILLWD","228","5"
"2023/01/02 00:00:00","N.Y.C.","4302","5"
"2023/01/02 00:00:00","NORTH","669","5"
"2023/01/02 00:00:00","WEST","1340","5"
"2023/01/02 01:00:00","CAPITL","1018","6"
"2023/01/02 01:00:00","CENTRL","1385","6"
"2023/01/02 01:00:00","DUNWOD","492","6"
"2023/01/02 01:00:00","GENESE","831","6"
"2023/01/02 01:00:00","HUD VL","809","6"
"2023/01/02 01:00:00","LONGIL","1644","6"
"2023/01/02 01:00:00","MHK VL","561","6"
"2023/01/02 01:00:00","MILLWD","221","6"
"2023/01/02 01:00:00","N.Y.C.","4160","6"
"2023/01/02 01:00:00","NORTH","665","6"
"2023/01/02 01:00:00","WEST","1300","6"
"2023/01/02 02:00:00","CAPITL","1009","7"
"2023/01/02 02:00:00","CENTRL","1369","7"
"2023/01/02 02:00:00","DUNWOD","476","7"
"2023/01/02 02:00:00","GENESE","824","7"
"2023/01/02 02:00:00","HUD VL","794","7"
"2023/01/02 02:00:00","LONGIL","1590","7"
"2023/01/02 02:00:00","MHK VL","555","7"
"2023/01/02 02:00:00","MILLWD","218","7"
"2023/01/02 02:00:00","N.Y.C.","4058","7"
"2023/01/02 02:00:00","NORTH","657","7"
"2023/01/02 02:00:00","WEST","1282","7"
"2023/01/02 03:00:00","CAPITL","1008","8"
"2023/01/02 03:00:00","CENTRL","1368","8"
"2023/01/02 03:00:00","DUNWOD","469","8"
"2023/01/02 03:00:00","GENESE","825","8"
"2023/01/02 03:00:00","HUD VL","793","8"
"2023/01/02 03:00:00","LONGIL","1574","8"
"2023/01/02 03:00:00","MHK VL","555","8"
"2023/01/02 03:00:00","MILLWD","217","8"
"2023/01/02 03:00:00","N.Y.C.","4011","8"
"2023/01/02 03:00:00","NORTH","658","8"
"2023/01/02 03:00:00","WEST","1284","8"
"2023/01/02 04:00:00","CAPITL","1028","9"
"2023/01/02 04:00:00","CENTRL","1392","9"
"2023/01/02 04:00:00","DUNWOD","472","9"
"2023/01/02 04:00:00","GENESE","844","9"
"2023/01/02 04:00:00","HUD VL","802","9"
"2023/01/02 04:00:00","LONGIL","1606","9"
"2023/01/02 04:00:00","MHK VL","567","9"
"2023/01/02 04:00:00","MILLWD","224","9"
"2023/01/02 04:00:00","N.Y.C.","4038","9"
"2023/01/02 04:00:00","NORTH","662","9"
"2023/01/02 04:00:00","WEST","1306","9"
"2023/01/02 05:00:00","CAPITL","1072","10"
"2023/01/02 05:00:00","CENTRL","1447","10"
"2023/01/02 05:00:00","DUNWOD","489","10"
"2023/01/02 05:00:00","GENESE","885","10"
"2023/01/02 05:00:00","HUD VL","833","10"
"2023/01/02 05:00:00","LONGIL","1675","10"
"2023/01/02 05:00:00","MHK VL","605","10"
"2023/01/02 05:00:00","MILLWD","237","10"
"2023/01/02 05:00:00","N.Y.C.","4209","10"
"2023/01/02 05:00:00","NORTH","673","10"
"2023/01/02 05:00:00","WEST","1347","10"
"2023/01/02 06:00:00","CAPITL","1116","11"
"2023/01/02 06:00:00","CENTRL","1513","11"
"2023/01/02 06:00:00","DUNWOD","516","11"
"2023/01/02 06:00:00","GENESE","930","11"
"2023/01/02 06:00:00","HUD VL","873","11"
"2023/01/02 06:00:00","LONGIL","1758","11"
"2023/01/02 06:00:00","MHK VL","651","11"
"2023/01/02 06:00:00","MILLWD","260","11"
"2023/01/02 06:00:00","N.Y.C.","4487","11"
"2023/01/02 06:00:00","NORTH","690","11"
"2023/01/02 06:00:00","WEST","1404","11"
"2023/01/02 07:00:00","CAPITL","1197","12"
"2023/01/02 07:00:00","CENTRL","1607","12"
"2023/01/02 07:00:00","DUNWOD","548","12"
"2023/01/02 07:00:00","GENESE","990","12"
"2023/01/02 07:00:00","HUD VL","939","12"
"2023/01/02 07:00:00","LONGIL","1859","12"
"2023/01/02 07:00:00","MHK VL","713","12"
"2023/01/02 07:00:00","MILLWD","276","12"
"2023/01/02 07:00:00","N.Y.C.","4734","12"
"2023/01/02 07:00:00","NORTH","707","12"
"2023/01/02 07:00:00","WEST","1490","12"
"2023/01/02 08:00:00","CAPITL","1270","13"
"2023/01/02 08:00:00","CENTRL","1662","13"
"2023/01/02 08:00:00","DUNWOD","580","13"
"2023/01/02 08:00:00","GENESE","1027","13"
"2023/01/02 08:00:00","HUD VL","974","13"
"2023/01/02 08:00:00","LONGIL","1937","13"
"2023/01/02 08:00:00","MHK VL","762","13"
"2023/01/02 08:00:00","MILLWD","292","13"
"2023/01/02 08:00:00","N.Y.C.","4977","13"
"2023/01/02 08:00:00","NORTH","723","13"
"2023/01/02 08:00:00","WEST","1544","13"
"2023/01/02 09:00:00","CAPITL","1302","14"
"2023/01/02 09:00:00","CENTRL","1695","14"
"2023/01/02 09:00:00","DUNWOD","602","14"
"2023/01/02 09:00:00","GENESE","1045","14"
"2023/01/02 09:00:00","HUD VL","952","14"
"2023/01/02 09:00:00","LONGIL","1992","14"
"2023/01/02 09:00:00","MHK VL","785","14"
"2023/01/02 09:00:00","MILLWD","300","14"
"2023/01/02 09:00:00","N.Y.C.","5146","14"
"2023/01/02 09:00:00","NORTH","735","14"
"2023/01/02 09:00:00","WEST","1595","14"
"2023/01/02 10:00:00","CAPITL","1309","15"
"2023/01/02 10:00:00","CENTRL","1693","15"
"2023/01/02 10:00:00","DUNWOD","613","15"
"2023/01/02 10:00:00","GENESE","1054","15"
"2023/01/02 10:00:00","HUD VL","930","15"
"2023/01/02 10:00:00","LONGIL","2025","15"
"2023/01/02 10:00:00","MHK VL","795","15"
"2023/01/02 10:00:00","MILLWD","302","15"
"2023/01/02 10:00:00","N.Y.C.","5237","15"
"2023/01/02 10:00:00","NORTH","741","15"
"2023/01/02 10:00:00","WEST","1631","15"
"2023/01/02 11:00:00","CAPITL","1320","16"
"2023/01/02 11:00:00","CENTRL","1680","16"
"2023/01/02 11:00:00","DUNWOD","616","16"
"2023/01/02 11:00:00","GENESE","1059","16"
"2023/01/02 11:00:00","HUD VL","924","16"
"2023/01/02 11:00:00","LONGIL","2045","16"
"2023/01/02 11:00:00","MHK VL","798","16"
"2023/01/02 11:00:00","MILLWD","302","16"
"2023/01/02 11:00:00","N.Y.C.","5337","16"
"2023/01/02 11:00:00","NORTH","740","16"
"2023/01/02 11:00:00","WEST","1642","16"
"2023/01/02 12:00:00","CAPITL","1315","17"
"2023/01/02 12:00:00","CENTRL","1668","17"
"2023/01/02 12:00:00","DUNWOD","617","17"
"2023/01/02 12:00:00","GENESE","1059","17"
"2023/01/02 12:00:00","HUD VL","922","17"
"2023/01/02 12:00:00","LONGIL","2053","17"
"2023/01/02 12:00:00","MHK VL","788","17"
"2023/01/02 12:00:00","MILLWD","297","17"
"2023/01/02 12:00:00","N.Y.C.","5351","17"
"2023/01/02 12:00:00","NORTH","733","17"
"2023/01/02 12:00:00","WEST","1637","17"
"2023/01/02 13:00:00","CAPITL","1319","18"
"2023/01/02 13:00:00","CENTRL","1658","18"
"2023/01/02 13:00:00","DUNWOD","619","18"
"2023/01/02 13:00:00","GENESE","1056","18"
"2023/01/02 13:00:00","HUD VL","949","18"
"2023/01/02 13:00:00","LONGIL","2085","18"
"2023/01/02 13:00:00","MHK VL","774","18"
"2023/01/02 13:00:00","MILLWD","295","18"
"2023/01/02 13:00:00","N.Y.C.","5368","18"
"2023/01/02 13:00:00","NORTH","730","18"
"2023/01/02 13:00:00","WEST","1626","18"
"2023/01/02 14:00:00","CAPITL","1340","19"
"2023/01/02 14:00:00","CENTRL","1670","19"
"2023/01/02 14:00:00","DUNWOD","621","19"
"2023/01/02 14:00:00","GENESE","1065","19"
"2023/01/02 14:00:00","HUD VL","983","19"
"2023/01/02 14:00:00","LONGIL","2143","19"
"2023/01/02 14:00:00","MHK VL","767","19"
"2023/01/02 14:00:00","MILLWD","296","19"
"2023/01/02 14:00:00","N.Y.C.","5373","19"
"2023/01/02 14:00:00","NORTH","727","19"
"2023/01/02 14:00:00","WEST","1630","19"
"2023/01/02 15:00:00","CAPITL","1358","20"
"2023/01/02 15:00:00","CENTRL","1713","20"
"2023/01/02 15:00:00","DUNWOD","624","20"
"2023/01/02 15:00:00","GENESE","1084","20"
"2023/01/02 15:00:00","HUD VL","1025","20"
"2023/01/02 15:00:00","LONGIL","2206","20"
"2023/01/02 15:00:00","MHK VL","775","20"
"2023/01/02 15:00:00","MILLWD","300","20"
"2023/01/02 15:00:00","N.Y.C.","5378","20"
"2023/01/02 15:00:00","NORTH","730","20"
"2023/01/02 15:00:00","WEST","1636","20"
"2023/01/02 16:00:00","CAPITL","1435","21"
"2023/01/02 16:00:00","CENTRL","1788","21"
"2023/01/02 16:00:00","DUNWOD","646","21"
"2023/01/02 16:00:00","GENESE","1129","21"
"2023/01/02 16:00:00","HUD VL","1093","21"
"2023/01/02 16:00:00","LONGIL","2364","21"
"2023/01/02 16:00:00","MHK VL","812","21"
"2023/01/02 16:00:00","MILLWD","316","21"
"2023/01/02 16:00:00","N.Y.C.","5482","21"
"2023/01/02 16:00:00","NORTH","740","21"
"2023/01/02 16:00:00","WEST","1668","21"
"2023/01/02 17:00:00","CAPITL","1549","22"
"2023/01/02 17:00:00","CENTRL","1908","22"
"2023/01/02 17:00:00","DUNWOD","687","22"
"2023/01/02 17:00:00","GENESE","1214","22"
"2023/01/02 17:00:00","HUD VL","1197","22"
"2023/01/02 17:00:00","LONGIL","2589","22"
"2023/01/02 17:00:00","MHK VL","884","22"
"2023/01/02 17:00:00","MILLWD","356","22"
"2023/01/02 17:00:00","N.Y.C.","5683","22"
"2023/01/02 17:00:00","NORTH","750","22"
"2023/01/02 17:00:00","WEST","1777","22"
"2023/01/02 18:00:00","CAPITL","1536","23"
"2023/01/02 18:00:00","CENTRL","1901","23"
"2023/01/02 18:00:00","DUNWOD","683","23"
"2023/01/02 18:00:00","GENESE","1208","23"
"2023/01/02 18:00:00","HUD VL","1198","23"
"2023/01/02 18:00:00","LONGIL","2583","23"
"2023/01/02 18:00:00","MHK VL","880","23"
"2023/01/02 18:00:00","MILLWD","366","23"
"2023/01/02 18:00:00","N.Y.C.","5603","23"
"2023/01/02 18:00:00","NORTH","742","23"
"2023/01/02 18:00:00","WEST","1783","23"
"2023/01/02 19:00:00","CAPITL","1482","0"
"2023/01/02 19:00:00","CENTRL","1846","0"
"2023/01/02 19:00:00","DUNWOD","659","0"
"2023/01/02 19:00:00","GENESE","1163","0"
"2023/01/02 19:00:00","HUD VL","1158","0"
"2023/01/02 19:00:00","LONGIL","2481","0"
"2023/01/02 19:00:00","MHK VL","851","0"
"2023/01/02 19:00:00","MILLWD","357","0"
"2023/01/02 19:00:00","N.Y.C.","5471","0"
"2023/01/02 19:00:00","NORTH","738","0"
"2023/01/02 19:00:00","WEST","1725","0"
"2023/01/02 20:00:00","CAPITL","1416","1"
"2023/01/02 20:00:00","CENTRL","1778","1"
"2023/01/02 20:00:00","DUNWOD","637","1"
"2023/01/02 20:00:00","GENESE","1110","1"
"2023/01/02 20:00:00","HUD VL","1113","1"
"2023/01/02 20:00:00","LONGIL","2375","1"
"2023/01/02 20:00:00","MHK VL","807","1"
"2023/01/02 20:00:00","MILLWD","342","1"
"2023/01/02 20:00:00","N.Y.C.","5278","1"
"2023/01/02 20:00:00","NORTH","730","1"
"2023/01/02 20:00:00","WEST","1668","1"
